record_id,cccd_so,ho_va_ten,ngay_sinh,gioi_tinh,sdt_chinh,dia_chi_cu_tru,tinh_thanh,quoc_tich,ref_ext,so_phu,pid,tinh_trang_hn,trinh_do_hv,nghe_nghiep,noi_sinh,so_nguoi_phu_thuoc,ngay_cap_cccd,dan_toc,created_at
CIT-205239,095282911946,Vũ Văn Giang,1982-07-13,Nữ,0389823994,"210 Lý Thường Kiệt, Phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế",Đà Nẵng,Việt Nam,vu.van.giang801@hotmail.com,0867668663,095282911946,Độc thân,Đại học,Nông dân,Thanh Hóa,2,2022-01-11,Nùng,2024-09-26
CIT-817644,008187661820,Dương Bảo Bình,1987-09-12,Nữ,0782516313,"228 Hai Bà Trưng, Phường Hưng Bình, TP. Vinh, Nghệ An",Hải Dương,Việt Nam,duong.bao.binh48@hotmail.com,0355921894,008187661820,Ly hôn,Đại học,Kinh doanh tự do,Cần Thơ,1,2020-12-15,Mường,2023-01-04
CIT-816318,087387649813,Lê Đức Châu,1987-05-04,Nam,0983401116,"236 Nguyễn Trãi, Phường Thắng Lợi, TP. Sông Công, Thái Nguyên",Hà Nội,Việt Nam,le.duc.chau923@hotmail.com,0592239197,087387649813,Góa,Đại học,Lập trình viên,Nghệ An,5,2017-10-21,Mường,2023-09-11
CIT-476395,025364599704,Phạm Anh Sơn,1964-10-13,Nữ,0831368085,"290 Lê Lợi, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",Đồng Nai,Việt Nam,pham.anh.son795@yahoo.com,0884674286,025364599704,Đã kết hôn,Tiến sĩ,Lập trình viên,Cần Thơ,5,2016-02-02,Nùng,2022-03-22
CIT-237795,058261767934,Hoàng Phương Quân,1961-06-30,Nam,0836481437,"68 Phạm Văn Đồng, Phường Lê Mao, TP. Vinh, Nghệ An",Ninh Bình,Việt Nam,hoang.phuong.quan851@yahoo.com,0819084065,058261767934,Ly hôn,Đại học,Giáo viên,Thừa Thiên Huế,0,2016-07-30,H'Mông,2023-04-08
CIT-943671,096390886827,Dương Thanh Yến,1990-04-02,Nữ,0377619862,"233 Võ Thị Sáu, Phường Văn Chương, Quận Đống Đa, Hà Nội",Bắc Ninh,Việt Nam,duong.thanh.yen843@hotmail.com,0384922880,096390886827,Góa,Trung học phổ thông,Nông dân,Hưng Yên,4,2017-06-25,Nùng,2022-05-10
CIT-528129,070200680776,Đỗ Xuân Quân,2000-10-16,Nam,0561760793,"60 Đinh Tiên Hoàng, Phường Tân Thành, Quận Tân Bình, TP. Hồ Chí Minh",Thái Nguyên,Việt Nam,do.xuan.quan398@outlook.com,0898031780,070200680776,Đã kết hôn,Thạc sĩ,Giáo viên,Đồng Nai,4,2019-07-30,Thái,2022-03-09
CIT-480303,044179897004,Hồ Quốc Hùng,1979-11-21,Nam,0897017548,"98 Đinh Tiên Hoàng, Thị trấn Tân Túc, Huyện Bình Chánh, TP. Hồ Chí Minh",Thừa Thiên Huế,Việt Nam,ho.quoc.hung679@yahoo.com,0331848566,044179897004,Ly hôn,Cao đẳng,Bác sĩ,Quảng Ninh,0,2024-04-21,H'Mông,2023-03-01
CIT-724932,079174826952,Bùi Minh Lan,1974-09-27,Nam,0823427461,"57 Nguyễn Huệ, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ",Cần Thơ,Việt Nam,bui.minh.lan367@yahoo.com,0851264762,079174826952,Đã kết hôn,Đại học,Kỹ sư,Cần Thơ,5,2019-09-21,Khmer,2022-08-21
CIT-722503,079280538169,Hồ Thị Sơn,1980-02-09,Nam,0949453010,"373 Lê Văn Sỹ, Xã Hùng Sơn, Huyện Đại Từ, Thái Nguyên",Hải Dương,Việt Nam,ho.thi.son659@gmail.com,0359035982,079280538169,Góa,Thạc sĩ,Giáo viên,Đồng Nai,5,2019-12-22,Kinh,2022-06-15
CIT-763829,014262654644,Huỳnh Hữu Giang,1962-12-12,Nữ,0909901266,"51 Đinh Tiên Hoàng, Phường Văn An, TP. Chí Linh, Hải Dương",Kiên Giang,Việt Nam,huynh.huu.giang441@outlook.com,0787942639,014262654644,Ly hôn,Thạc sĩ,Kinh doanh tự do,Nghệ An,5,2016-01-25,Thái,2024-05-24
CIT-597305,095176720184,Huỳnh Thanh Linh,1976-10-15,Nam,0372432176,"382 Võ Thị Sáu, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",Cần Thơ,Việt Nam,huynh.thanh.linh601@protonmail.com,0863050700,095176720184,Góa,Đại học,Kinh doanh tự do,TP. Hồ Chí Minh,2,2021-09-25,Thái,2023-12-22
CIT-988432,015369235137,Trần Hữu Tâm,1969-07-17,Nam,0887166651,"116 Nam Kỳ Khởi Nghĩa, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng",Kiên Giang,Việt Nam,tran.huu.tam624@hotmail.com,0334026879,015369235137,Ly hôn,Đại học,Nhân viên văn phòng,Ninh Bình,0,2017-01-13,H'Mông,2022-10-21
CIT-882354,015063096214,Bùi Thanh Nga,1963-02-14,Nam,0908043620,"190 Hoàng Diệu, Phường Thủy Phương, TX. Hương Thủy, Thừa Thiên Huế",Hưng Yên,Việt Nam,bui.thanh.nga905@gmail.com,0583640899,015063096214,Độc thân,Trung học phổ thông,Lập trình viên,Thừa Thiên Huế,5,2019-10-03,Mường,2024-06-24
CIT-550797,049093361939,Phan Thành Hùng,1993-11-11,Nam,0839164342,"24 Trường Chinh, Xã Khánh Hòa, Huyện Châu Phú, An Giang",Thanh Hóa,Việt Nam,phan.thanh.hung8@yahoo.com,0844543918,049093361939,Đã kết hôn,Đại học,Lập trình viên,Hưng Yên,0,2015-02-01,Mường,2024-05-31
CIT-685864,072183524563,Lê Đức Nga,1983-11-21,Nữ,0367661748,"236 Trần Phú, Xã Bình Hưng, Huyện Bình Chánh, TP. Hồ Chí Minh",Hưng Yên,Việt Nam,le.duc.nga588@outlook.com,0925857259,072183524563,Độc thân,Thạc sĩ,Kỹ sư,Hưng Yên,1,2023-12-27,Khmer,2024-07-31
CIT-556839,042063255135,Dương Ngọc Nam,1963-12-14,Nữ,0377639863,"114 Phan Đình Phùng, Xã Đồng Lạc, Huyện Nam Sách, Hải Dương",Bình Dương,Việt Nam,duong.ngoc.nam523@gmail.com,0766861544,042063255135,Ly hôn,Cao đẳng,Kế toán,Hải Phòng,1,2017-11-14,Tày,2022-12-22
CIT-891093,019363486490,Bùi Đức Uyên,1963-05-19,Nữ,0856303930,"241 Điện Biên Phủ, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ",Hải Dương,Việt Nam,bui.duc.uyen606@gmail.com,0889511700,019363486490,Độc thân,Đại học,Công nhân,Thừa Thiên Huế,0,2015-08-22,Thái,2023-08-11
CIT-708519,060387485188,Trần Thanh Châu,1987-08-03,Nam,0944158134,"257 Lý Thường Kiệt, Xã Việt Hưng, Huyện Văn Lâm, Hưng Yên",TP. Hồ Chí Minh,Việt Nam,tran.thanh.chau106@hotmail.com,0379464927,060387485188,Đã kết hôn,Trung học phổ thông,Kế toán,Thừa Thiên Huế,3,2020-11-16,Khmer,2022-11-22
CIT-726928,040277711875,Huỳnh Quốc Long,1977-05-18,Nam,0862105817,"146 Nguyễn Trãi, Phường Minh Khai, TP. Hưng Yên, Hưng Yên",Cần Thơ,Việt Nam,huynh.quoc.long84@protonmail.com,0586869018,040277711875,Ly hôn,Thạc sĩ,Bác sĩ,Đà Nẵng,2,2021-04-08,Mường,2023-11-04
CIT-803024,084091677406,Dương Đức Việt,1991-07-12,Nữ,0891305857,"487 Bà Triệu, Phường Nam Sơn, TP. Tam Điệp, Ninh Bình",Hưng Yên,Việt Nam,duong.duc.viet197@yahoo.com,0563599548,084091677406,Độc thân,Đại học,Giáo viên,An Giang,4,2024-05-13,Nùng,2024-12-14
CIT-495019,079199626258,Nguyễn Thanh Mai,1999-04-24,Nam,0594034091,"211 Võ Thị Sáu, Phường An Phú, Huyện Thuận An, Bình Dương",Thái Nguyên,Việt Nam,nguyen.thanh.mai626@hotmail.com,0944925917,079199626258,Đã kết hôn,Đại học,Công nhân,Quảng Ninh,2,2022-08-10,Khmer,2024-06-21
CIT-956572,037394169930,Vũ Phương Long,1994-11-26,Nam,0565194357,"284 Đinh Tiên Hoàng, Thị trấn Tân Túc, Huyện Bình Chánh, TP. Hồ Chí Minh",An Giang,Việt Nam,vu.phuong.long292@gmail.com,0595576678,037394169930,Góa,Tiến sĩ,Bác sĩ,Nghệ An,0,2017-06-28,H'Mông,2024-07-12
CIT-492127,006378526392,Lý Quốc An,1978-08-11,Nam,0902369112,"164 Đinh Tiên Hoàng, Phường Đông Thành, TP. Ninh Bình, Ninh Bình",Hưng Yên,Việt Nam,ly.quoc.an141@gmail.com,0838926478,006378526392,Đã kết hôn,Thạc sĩ,Công nhân,Hà Nội,0,2015-03-19,Thái,2023-03-18
CIT-913875,074302116587,Dương Đức Thảo,2002-03-05,Nữ,0796052478,"215 Tô Hiến Thành, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",Thừa Thiên Huế,Việt Nam,duong.duc.thao114@outlook.com,0339646569,074302116587,Đã kết hôn,Cao đẳng,Lập trình viên,Nghệ An,0,2021-11-23,Thái,2023-05-08
CIT-478120,067089548913,Bùi Anh Hà,1989-10-20,Nam,0337550726,"192 Nguyễn Trãi, Phường Long Bình, TP. Biên Hòa, Đồng Nai",Hà Nội,Việt Nam,bui.anh.ha808@gmail.com,0885045421,067089548913,Độc thân,Tiến sĩ,Nhân viên văn phòng,Cần Thơ,0,2018-12-14,Khmer,2023-11-25
CIT-601776,079397729168,Dương Thanh Hà,1997-04-01,Nam,0562058651,"104 Lê Lợi, Phường Thuận Hòa, TP. Huế, Thừa Thiên Huế",Quảng Ninh,Việt Nam,duong.thanh.ha324@hotmail.com,0918942330,079397729168,Ly hôn,Trung học phổ thông,Kế toán,Hải Dương,2,2024-09-01,H'Mông,2022-04-08
CIT-519453,012272458176,Dương Thanh Mai,1972-04-03,Nữ,0906688090,"255 Võ Thị Sáu, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương",An Giang,Việt Nam,duong.thanh.mai821@gmail.com,0932324175,012272458176,Góa,Tiến sĩ,Bác sĩ,Kiên Giang,2,2018-08-08,Kinh,2022-06-13
CIT-823270,044373174739,Huỳnh Thanh Long,1973-09-30,Nữ,0888501590,"141 Lê Lợi, Phường Tân Thành, Quận Tân Bình, TP. Hồ Chí Minh",Đà Nẵng,Việt Nam,huynh.thanh.long373@protonmail.com,0591522452,044373174739,Đã kết hôn,Tiến sĩ,Công nhân,TP. Hồ Chí Minh,1,2015-10-03,Tày,2024-01-21
CIT-571778,060161712048,Huỳnh Anh Toàn,1961-06-14,Nữ,0898448065,"272 Võ Thị Sáu, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",Thanh Hóa,Việt Nam,huynh.anh.toan666@hotmail.com,0792903351,060161712048,Độc thân,Cao đẳng,Công nhân,An Giang,3,2021-04-19,Kinh,2023-06-21
CIT-615060,022280727691,Ngô Thành Xuân,1980-01-07,Nam,0393277144,"461 Điện Biên Phủ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Việt Nam,ngo.thanh.xuan684@hotmail.com,0365871470,022280727691,Ly hôn,Cao đẳng,Bác sĩ,Ninh Bình,4,2017-07-07,Kinh,2023-02-16
CIT-680933,048095378427,Ngô Đức Lan,1995-06-15,Nữ,0963177199,"204 Hoàng Văn Thụ, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",An Giang,Việt Nam,ngo.duc.lan788@outlook.com,0363102634,048095378427,Ly hôn,Trung học phổ thông,Công nhân,Thừa Thiên Huế,5,2020-10-20,Thái,2022-09-20
CIT-235300,058188805077,Lý Xuân Thảo,1988-09-12,Nữ,0353083077,"85 Hai Bà Trưng, Phường Mỹ Xuyên, TP. Long Xuyên, An Giang",Hưng Yên,Việt Nam,ly.xuan.thao355@protonmail.com,0832323049,058188805077,Ly hôn,Cao đẳng,Nông dân,Bắc Ninh,1,2022-01-04,Thái,2024-12-28
CIT-790731,058167179516,Trần Bảo Uyên,1967-07-25,Nữ,0341476028,"334 Bà Triệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",Nghệ An,Việt Nam,tran.bao.uyen510@protonmail.com,0836068298,058167179516,Góa,Cao đẳng,Kinh doanh tự do,Hải Dương,3,2015-10-26,Nùng,2022-05-03
CIT-736129,045181356717,Lê Thùy Phúc,1981-09-20,Nam,0856357240,"390 Võ Thị Sáu, Phường Nam Sơn, TP. Tam Điệp, Ninh Bình",An Giang,Việt Nam,le.thuy.phuc327@yahoo.com,0963055576,045181356717,Ly hôn,Thạc sĩ,Kế toán,Cần Thơ,0,2015-07-27,Thái,2024-02-26
CIT-443341,095171852993,Dương Hữu Phúc,1971-02-19,Nữ,0763673322,"256 Hoàng Diệu, Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai",Đồng Nai,Việt Nam,duong.huu.phuc93@outlook.com,0965038756,095171852993,Đã kết hôn,Tiến sĩ,Nhân viên văn phòng,TP. Hồ Chí Minh,0,2018-02-26,Mường,2024-08-21
CIT-377319,011398140440,Hoàng Bảo An,1998-01-01,Nữ,0917139410,"292 Phạm Văn Đồng, Xã Bình Hưng, Huyện Bình Chánh, TP. Hồ Chí Minh",Quảng Ninh,Việt Nam,hoang.bao.an567@hotmail.com,0367481857,011398140440,Góa,Tiến sĩ,Lập trình viên,Hải Phòng,1,2016-02-01,Mường,2024-02-04
CIT-731728,036102208727,Ngô Quốc Thảo,2002-02-12,Nữ,0341760064,"412 Hoàng Văn Thụ, Phường 11, Quận Bình Thạnh, TP. Hồ Chí Minh",An Giang,Việt Nam,ngo.quoc.thao153@protonmail.com,0566502353,036102208727,Ly hôn,Cao đẳng,Kinh doanh tự do,Hải Dương,4,2018-10-09,Khmer,2024-11-09
CIT-117445,031385855374,Đặng Thùy Xuân,1985-04-01,Nữ,0862838859,"408 Nguyễn Huệ, Xã Diễn Thịnh, Huyện Diễn Châu, Nghệ An",Đồng Nai,Việt Nam,dang.thuy.xuan991@protonmail.com,0781861596,031385855374,Góa,Cao đẳng,Nông dân,Thanh Hóa,1,2024-03-19,Nùng,2023-05-12
CIT-428930,020064462462,Nguyễn Hữu Xuân,1964-12-05,Nữ,0587928320,"447 Lê Lợi, Phường Cẩm Đông, TP. Cẩm Phả, Quảng Ninh",Cần Thơ,Việt Nam,nguyen.huu.xuan575@hotmail.com,0979816043,020064462462,Góa,Đại học,Bác sĩ,Thừa Thiên Huế,4,2018-11-03,Khmer,2023-12-27
