ho_so_id,ref_id,ten_chu_ho_so,val_02,loai_ho_so,co_quan_tiep_nhan,ngay_nop,han_giai_quyet,trang_thai_xu_ly,ext_info,code_x,so_bao_hiem,phi_ho_so,nhan_vien_xu_ly,dia_chi_lien_lac,meta_addr,so_ho_khau,kenh_tiep_nhan,ket_qua_xu_ly,updated_at
ADM-519024,066294433577,Bùi Thùy Phúc,0386728804,Khai sinh,UBND Quận Bình Thạnh,2021-12-23,2022-02-06,Hoàn thành,bui.thuy.phuc795@hotmail.com,066294433577,6560484128,200000,NV-250405,"127 Lê Văn Sỹ, Phường Đông Xuyên, TP. Long Xuyên, An Giang","296 Phan Đình Phùng, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",011/894033,Trực tiếp,Chấp thuận,2024-01-01
ADM-351812,080081409304,Hoàng Ngọc Xuân,0847767491,Ly hôn,UBND Quận Hoàn Kiếm,2022-06-30,2022-08-13,Hoàn thành,hoang.ngoc.xuan802@protonmail.com,080081409304,3522620854,100000,NV-643215,"418 Bà Triệu, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương","206 Phan Đình Phùng, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",075/156127,Trực tiếp,Từ chối,2022-01-19
ADM-733526,086300679849,Dương Thành Xuân,0706813591,Đăng ký kết hôn,UBND Huyện Gia Lâm,2024-03-09,2024-05-01,Chờ bổ sung hồ sơ,duong.thanh.xuan351@hotmail.com,086300679849,2955094809,200000,NV-460232,"413 Nguyễn Huệ, Phường Đình Bảng, TP. Từ Sơn, Bắc Ninh","441 Nguyễn Huệ, Xã Tiên Hội, Huyện Đại Từ, Thái Nguyên",026/452171,Qua đại lý,Đang xem xét,2024-06-08
ADM-719904,072064156895,Đỗ Quốc Hùng,0597224973,Ly hôn,UBND TP. Hà Nội,2022-05-19,2022-05-31,Đang xử lý,do.quoc.hung574@gmail.com,072064156895,1567358952,50000,NV-194106,"168 Đinh Tiên Hoàng, Phường Ninh Khánh, TP. Ninh Bình, Ninh Bình","420 Nguyễn Trãi, Xã Bình An, Huyện Kiên Lương, Kiên Giang",036/171841,Trực tiếp,Chấp thuận,2022-01-20
ADM-835962,096080524442,Trần Ngọc Linh,0857192109,Hộ chiếu,UBND Quận 1,2021-06-30,2021-08-03,Chờ bổ sung hồ sơ,tran.ngoc.linh976@protonmail.com,096080524442,4116515494,100000,NV-733312,"320 Trần Phú, Phường Long Bình, TP. Biên Hòa, Đồng Nai","25 Nguyễn Huệ, Phường Phú Cường, TP. Thủ Dầu Một, Bình Dương",084/342503,Qua đại lý,Chấp thuận,2024-04-21
ADM-873009,064196794630,Đỗ Trung Dũng,0822251046,Giấy phép lái xe,UBND Huyện Gia Lâm,2021-03-05,2021-03-29,Chờ bổ sung hồ sơ,do.trung.dung340@hotmail.com,064196794630,4532490937,200000,NV-338237,"114 Hoàng Văn Thụ, Phường Đông Mai, TX. Quảng Yên, Quảng Ninh","221 Nam Kỳ Khởi Nghĩa, Thị trấn An Dương, Huyện An Dương, Hải Phòng",017/503639,Qua đại lý,Chấp thuận,2024-01-13
ADM-313247,046395681976,Trần Hữu Giang,0704505512,Giấy phép xây dựng,UBND Quận Bình Thạnh,2022-02-19,2022-03-15,Đang xử lý,tran.huu.giang608@protonmail.com,046395681976,7850166701,100000,NV-257450,"403 Bà Triệu, Phường Mỹ Xuyên, TP. Long Xuyên, An Giang","400 Điện Biên Phủ, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng",094/291368,Bưu điện,Đang xem xét,2023-04-03
ADM-347843,038096554228,Phạm Minh Thảo,0866258739,Đăng ký kinh doanh,UBND Quận 1,2021-06-16,2021-08-14,Hoàn thành,pham.minh.thao85@gmail.com,038096554228,3050071883,100000,NV-240871,"143 Đinh Tiên Hoàng, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","459 Hoàng Văn Thụ, Phường Hố Nai, TP. Biên Hòa, Đồng Nai",087/681695,Trực tiếp,Chấp thuận,2022-11-12
ADM-804136,042185241457,Vũ Bảo Yến,0969395682,Đăng ký kinh doanh,UBND Quận Bình Thạnh,2021-01-26,2021-03-14,Chờ bổ sung hồ sơ,vu.bao.yen857@outlook.com,042185241457,4719186275,50000,NV-475732,"172 Cách Mạng Tháng 8, Xã Đặng Cương, Huyện An Dương, Hải Phòng","222 Nguyễn Trãi, Xã Thủy Thanh, TX. Hương Thủy, Thừa Thiên Huế",051/733645,Qua đại lý,Chấp thuận,2022-07-05
ADM-737312,020002774347,Dương Phương Sơn,0797526547,Khai sinh,Sở Tư pháp TP.HCM,2021-02-11,2021-03-14,Chờ bổ sung hồ sơ,duong.phuong.son90@gmail.com,020002774347,4745248224,50000,NV-190749,"267 Hoàng Diệu, Xã Hương Vinh, TX. Hương Trà, Thừa Thiên Huế","317 Hoàng Diệu, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai",064/899971,Online,Từ chối,2022-07-17
ADM-167405,033170328900,Lê Thanh Hùng,0375981697,Hộ chiếu,UBND Quận Bình Thạnh,2021-01-01,2021-01-22,Đang xử lý,le.thanh.hung246@yahoo.com,033170328900,3224950599,100000,NV-395042,"156 Nguyễn Huệ, Phường Vĩnh Mỹ, TP. Châu Đốc, An Giang","469 Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",052/910406,Bưu điện,Đang xem xét,2024-10-05
ADM-226342,082093970700,Trần Quốc Quân,0773079483,Giấy phép xây dựng,Sở Tư pháp Hà Nội,2021-01-27,2021-03-15,Đang xử lý,tran.quoc.quan551@yahoo.com,082093970700,1565600097,50000,NV-864528,"489 Trường Chinh, Xã Hùng Sơn, Huyện Đại Từ, Thái Nguyên","401 Hai Bà Trưng, Phường Dị Sử, TX. Mỹ Hào, Hưng Yên",095/938371,Bưu điện,Từ chối,2024-03-18
ADM-419871,079193031913,Dương Hữu Mai,0341899228,Chứng minh nhân dân,UBND Quận Hoàn Kiếm,2023-10-01,2023-10-31,Từ chối,duong.huu.mai414@outlook.com,079193031913,5237713843,0,NV-105457,"401 Lê Lợi, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh","280 Phan Đình Phùng, Phường Mỏ Chè, TP. Sông Công, Thái Nguyên",019/613141,Qua đại lý,Từ chối,2022-05-08
ADM-621639,049285448813,Hoàng Minh Tuấn,0599235135,Giấy phép lái xe,UBND Quận 1,2021-08-22,2021-09-17,Đang xử lý,hoang.minh.tuan881@yahoo.com,049285448813,1607117034,200000,NV-466549,"296 Điện Biên Phủ, Phường Đông Mai, TX. Quảng Yên, Quảng Ninh","186 Nam Kỳ Khởi Nghĩa, Phường An Phú, Huyện Thuận An, Bình Dương",019/656276,Bưu điện,Chấp thuận,2024-07-18
ADM-506130,044281374077,Đặng Thùy Uyên,0939936697,Khai tử,Sở Tư pháp TP.HCM,2022-09-26,2022-11-18,Chờ bổ sung hồ sơ,dang.thuy.uyen887@gmail.com,044281374077,8615856908,0,NV-425936,"110 Võ Thị Sáu, Xã Hàm Ninh, TP. Phú Quốc, Kiên Giang","429 Võ Thị Sáu, Phường Cầu Tre, Quận Ngô Quyền, Hải Phòng",051/602957,Online,Đang xem xét,2024-05-01
ADM-474959,027160717203,Lê Thùy Mai,0827110646,Đăng ký kết hôn,UBND Quận Hoàn Kiếm,2021-11-23,2022-01-10,Từ chối,le.thuy.mai601@outlook.com,027160717203,7013680426,50000,NV-967621,"416 Cách Mạng Tháng 8, Phường Lê Mao, TP. Vinh, Nghệ An","246 Nguyễn Huệ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",010/835843,Trực tiếp,Từ chối,2023-07-05
ADM-209731,045166116940,Dương Thị Xuân,0811382273,Ly hôn,Sở Tư pháp TP.HCM,2023-06-11,2023-08-04,Đang xử lý,duong.thi.xuan69@protonmail.com,045166116940,6839694224,100000,NV-486763,"278 Lê Văn Sỹ, Thị trấn Tân Túc, Huyện Bình Chánh, TP. Hồ Chí Minh","109 Nguyễn Huệ, Phường Bách Quang, TP. Sông Công, Thái Nguyên",054/432759,Online,Chấp thuận,2024-08-19
ADM-453492,020099287482,Lý Hữu Tâm,0846106328,Hộ chiếu,UBND Quận Bình Thạnh,2021-01-01,2021-01-24,Đang xử lý,ly.huu.tam90@outlook.com,020099287482,1317263741,100000,NV-583555,"312 Điện Biên Phủ, Xã Phú Cường, Huyện Đại Từ, Thái Nguyên","23 Bà Triệu, Xã An Đồng, Huyện An Dương, Hải Phòng",074/573079,Qua đại lý,Chấp thuận,2024-04-03
ADM-370416,060380217670,Vũ Thanh Bình,0944180467,Đăng ký kinh doanh,Sở Kế hoạch và Đầu tư Hà Nội,2022-05-16,2022-07-05,Từ chối,vu.thanh.binh185@protonmail.com,060380217670,2519712354,200000,NV-557703,"499 Nam Kỳ Khởi Nghĩa, Xã Bình An, Huyện Kiên Lương, Kiên Giang","426 Nguyễn Văn Cừ, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",054/125759,Bưu điện,Từ chối,2022-08-11
ADM-763264,001071904176,Huỳnh Quốc Hùng,0947682693,Hộ chiếu,Sở Tư pháp Hà Nội,2023-07-02,2023-08-21,Từ chối,huynh.quoc.hung119@yahoo.com,001071904176,8073811247,50000,NV-974850,"75 Lê Lợi, Xã Yên Trung, Huyện Yên Phong, Bắc Ninh","309 Nguyễn Trãi, Xã Gành Dầu, TP. Phú Quốc, Kiên Giang",084/190056,Trực tiếp,Từ chối,2023-08-15
ADM-290290,008083301582,Trần Quốc Châu,0844821084,Giấy phép xây dựng,Sở Tư pháp TP.HCM,2022-12-21,2023-01-22,Từ chối,tran.quoc.chau530@hotmail.com,008083301582,7563285230,200000,NV-313249,"231 Hai Bà Trưng, Phường Hồng Gai, TP. Hạ Long, Quảng Ninh","65 Nguyễn Huệ, Phường Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",025/264288,Trực tiếp,Chấp thuận,2024-10-02
ADM-404581,079379959327,Trần Trung Long,0367366903,Ly hôn,UBND Quận 1,2021-10-29,2021-12-09,Đang xử lý,tran.trung.long150@outlook.com,079379959327,3858177744,100000,NV-489366,"138 Trần Phú, Xã Khánh Hòa, Huyện Châu Phú, An Giang","49 Nam Kỳ Khởi Nghĩa, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",067/210580,Qua đại lý,Đang xem xét,2024-10-20
ADM-176226,086181591786,Hồ Anh Xuân,0835792927,Hộ chiếu,UBND Huyện Gia Lâm,2022-06-07,2022-06-29,Từ chối,ho.anh.xuan463@protonmail.com,086181591786,5167160543,50000,NV-229162,"13 Nguyễn Trãi, Xã Ô Long Vĩ, Huyện Châu Phú, An Giang","356 Phan Đình Phùng, Phường Cao Thắng, TP. Hạ Long, Quảng Ninh",067/659214,Trực tiếp,Đang xem xét,2024-03-20
ADM-865433,067172372339,Đặng Thành Tâm,0376529917,Khai sinh,UBND Quận Hoàn Kiếm,2021-01-04,2021-01-31,Đang xử lý,dang.thanh.tam816@yahoo.com,067172372339,9368926015,50000,NV-661764,"91 Võ Thị Sáu, Phường An Phú, Huyện Thuận An, Bình Dương","272 Bà Triệu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",074/351057,Bưu điện,Từ chối,2023-07-03
ADM-787376,011295842019,Lê Trung Long,0388184788,Khai tử,Sở Kế hoạch và Đầu tư Hà Nội,2023-12-31,2024-02-05,Đang xử lý,le.trung.long308@protonmail.com,011295842019,3022997375,100000,NV-285417,"164 Cách Mạng Tháng 8, Phường Quảng Yên, TX. Quảng Yên, Quảng Ninh","216 Phan Đình Phùng, Phường Cẩm Tây, TP. Cẩm Phả, Quảng Ninh",033/969179,Bưu điện,Đang xem xét,2022-09-15
ADM-762455,034079305830,Phạm Hữu Tâm,0836248194,Giấy phép xây dựng,Sở Kế hoạch và Đầu tư Hà Nội,2021-07-26,2021-08-17,Từ chối,pham.huu.tam333@yahoo.com,034079305830,4832757467,100000,NV-501104,"327 Hoàng Văn Thụ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng","223 Lê Văn Sỹ, Phường Thuận Hòa, TP. Huế, Thừa Thiên Huế",056/648901,Bưu điện,Chấp thuận,2023-09-17
ADM-975885,058077997205,Ngô Thùy Long,0564038754,Khai sinh,UBND Quận Hoàn Kiếm,2023-06-21,2023-07-09,Hoàn thành,ngo.thuy.long453@gmail.com,058077997205,7351403053,100000,NV-555233,"219 Phan Đình Phùng, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng","147 Lê Văn Sỹ, Phường Phú Hội, TP. Huế, Thừa Thiên Huế",017/234946,Qua đại lý,Đang xem xét,2022-02-10
ADM-214364,046399608591,Hồ Ngọc Hùng,0832439467,Ly hôn,UBND Quận Bình Thạnh,2024-11-26,2024-12-10,Chờ bổ sung hồ sơ,ho.ngoc.hung61@protonmail.com,046399608591,7028547898,100000,NV-314552,"12 Lê Văn Sỹ, Phường Hưng Bình, TP. Vinh, Nghệ An","493 Võ Thị Sáu, Phường Châu Phú A, TP. Châu Đốc, An Giang",077/534699,Online,Từ chối,2022-04-09
ADM-609409,092268694150,Đỗ Thùy Toàn,0903187584,Ly hôn,UBND Quận Bình Thạnh,2021-08-10,2021-09-17,Từ chối,do.thuy.toan980@protonmail.com,092268694150,3691393543,100000,NV-158637,"471 Phạm Văn Đồng, Phường Minh Khai, TP. Hưng Yên, Hưng Yên","347 Hoàng Văn Thụ, Phường Hải Tân, TP. Hải Dương, Hải Dương",064/937328,Qua đại lý,Từ chối,2022-11-27
ADM-792565,031064585609,Đặng Phương Uyên,0913620974,Giấy phép lái xe,UBND Huyện Gia Lâm,2024-02-11,2024-03-19,Đang xử lý,dang.phuong.uyen822@outlook.com,031064585609,7047529599,50000,NV-933703,"136 Lý Thường Kiệt, Phường Tân Định, Quận 1, TP. Hồ Chí Minh","193 Điện Biên Phủ, Phường Quang Trung, TP. Thái Nguyên, Thái Nguyên",035/361144,Qua đại lý,Đang xem xét,2024-09-18
ADM-609865,019088935471,Trần Quốc Lan,0964398552,Khai sinh,UBND Quận Bình Thạnh,2023-04-16,2023-06-08,Hoàn thành,tran.quoc.lan168@gmail.com,019088935471,7227614335,100000,NV-503638,"411 Nam Kỳ Khởi Nghĩa, Phường Thắng Lợi, TP. Sông Công, Thái Nguyên","131 Hoàng Diệu, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",020/238095,Trực tiếp,Đang xem xét,2024-09-28
ADM-711705,036396286970,Lý Hữu Hà,0813230386,Khai sinh,UBND TP. Hà Nội,2022-06-07,2022-07-27,Chờ bổ sung hồ sơ,ly.huu.ha111@hotmail.com,036396286970,5720211421,0,NV-834274,"496 Võ Thị Sáu, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh","461 Trần Phú, Xã Long Châu, Huyện Yên Phong, Bắc Ninh",048/388945,Qua đại lý,Đang xem xét,2022-03-07
ADM-346040,019289669036,Nguyễn Thanh Linh,0709306152,Giấy phép xây dựng,Sở Kế hoạch và Đầu tư Hà Nội,2024-07-06,2024-08-08,Chờ bổ sung hồ sơ,nguyen.thanh.linh741@protonmail.com,019289669036,1528634444,200000,NV-240280,"202 Đinh Tiên Hoàng, Phường Mỹ Long, TP. Long Xuyên, An Giang","427 Trường Chinh, Phường Nhân Hòa, TX. Mỹ Hào, Hưng Yên",067/896880,Qua đại lý,Đang xem xét,2024-10-14
ADM-121892,079075926186,Lý Bảo Phúc,0389926474,Đăng ký kết hôn,UBND Quận Bình Thạnh,2021-07-28,2021-09-24,Chờ bổ sung hồ sơ,ly.bao.phuc89@yahoo.com,079075926186,3271251998,100000,NV-442623,"55 Cách Mạng Tháng 8, Phường Nam Bình, TP. Ninh Bình, Ninh Bình","124 Điện Biên Phủ, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",011/738661,Qua đại lý,Từ chối,2023-08-01
ADM-728357,044303028982,Huỳnh Thanh Nga,0793734580,Khai sinh,UBND TP. Hà Nội,2024-06-16,2024-07-24,Đang xử lý,huynh.thanh.nga758@outlook.com,044303028982,5907267345,50000,NV-394646,"453 Hoàng Văn Thụ, Xã Ninh Giang, Huyện Hoa Lư, Ninh Bình","219 Nguyễn Huệ, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai",049/288903,Bưu điện,Từ chối,2022-01-23
ADM-378774,001067035253,Nguyễn Thanh Nga,0917432968,Ly hôn,Sở Kế hoạch và Đầu tư Hà Nội,2024-10-08,2024-12-06,Đang xử lý,nguyen.thanh.nga770@outlook.com,001067035253,9276882324,0,NV-452445,"476 Đinh Tiên Hoàng, Phường Lê Thanh Nghị, TP. Hải Dương, Hải Dương","45 Nguyễn Huệ, Xã Hoằng Đạo, Huyện Hoằng Hóa, Thanh Hóa",024/304300,Qua đại lý,Đang xem xét,2022-03-17
ADM-380097,094382692104,Trần Thành Bình,0703823257,Khai sinh,UBND TP. Hà Nội,2021-05-06,2021-05-31,Chờ bổ sung hồ sơ,tran.thanh.binh349@yahoo.com,094382692104,6183056730,200000,NV-651835,"291 Điện Biên Phủ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","459 Phan Đình Phùng, Xã Ô Long Vĩ, Huyện Châu Phú, An Giang",049/837687,Qua đại lý,Đang xem xét,2022-11-07
ADM-954747,046189463122,Trần Đức An,0341624988,Hộ chiếu,UBND Huyện Gia Lâm,2023-01-28,2023-03-16,Đang xử lý,tran.duc.an810@protonmail.com,046189463122,9756837783,50000,NV-565755,"173 Trường Chinh, Phường Nam Đồng, Quận Đống Đa, Hà Nội","212 Nguyễn Trãi, Phường Châu Phú B, TP. Châu Đốc, An Giang",046/413471,Online,Từ chối,2022-04-26
ADM-417864,051199957264,Phan Thùy Mai,0964666002,Giấy phép xây dựng,UBND Quận 1,2022-11-14,2022-12-04,Đang xử lý,phan.thuy.mai323@outlook.com,051199957264,2276196224,0,NV-954452,"65 Điện Biên Phủ, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương","46 Tô Hiến Thành, Phường Tứ Hạ, TX. Hương Trà, Thừa Thiên Huế",017/709058,Qua đại lý,Từ chối,2022-07-03
ADM-312050,027270057680,Phan Ngọc Mai,0814129808,Hộ chiếu,Sở Kế hoạch và Đầu tư Hà Nội,2022-09-10,2022-10-14,Chờ bổ sung hồ sơ,phan.ngoc.mai366@yahoo.com,027270057680,8454581498,0,NV-588311,"117 Hai Bà Trưng, Xã Bình An, Huyện Kiên Lương, Kiên Giang","363 Võ Thị Sáu, Xã Gành Dầu, TP. Phú Quốc, Kiên Giang",044/534476,Trực tiếp,Chấp thuận,2023-06-10
ADM-881972,087075645467,Phan Trung Phúc,0925497487,Giấy phép lái xe,UBND Huyện Gia Lâm,2021-03-22,2021-04-15,Hoàn thành,phan.trung.phuc753@outlook.com,087075645467,7526572640,100000,NV-202936,"259 Đinh Tiên Hoàng, Phường An Thới, TP. Phú Quốc, Kiên Giang","331 Nguyễn Huệ, Phường Châu Phú B, TP. Châu Đốc, An Giang",012/322479,Qua đại lý,Chấp thuận,2023-05-03
ADM-550909,087369440255,Vũ Hữu Uyên,0587495597,Giấy phép xây dựng,UBND Huyện Gia Lâm,2022-06-27,2022-07-21,Chờ bổ sung hồ sơ,vu.huu.uyen730@yahoo.com,087369440255,7035102936,0,NV-812539,"286 Nam Kỳ Khởi Nghĩa, Xã Tam Giang, Huyện Yên Phong, Bắc Ninh","197 Lý Thường Kiệt, Xã Hòa Điền, Huyện Kiên Lương, Kiên Giang",031/873103,Online,Chấp thuận,2022-05-10
ADM-374194,026275365648,Phạm Trung Long,0889262029,Khai tử,Sở Tư pháp TP.HCM,2021-04-11,2021-05-04,Đang xử lý,pham.trung.long771@protonmail.com,026275365648,3840193451,200000,NV-957901,"486 Điện Biên Phủ, Phường An Thới, TP. Phú Quốc, Kiên Giang","40 Cách Mạng Tháng 8, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",091/364740,Trực tiếp,Từ chối,2022-03-01
ADM-708009,022279084361,Lê Thành Châu,0343401169,Giấy phép lái xe,UBND TP. Hà Nội,2022-06-13,2022-07-19,Đang xử lý,le.thanh.chau359@hotmail.com,022279084361,4150425734,0,NV-817183,"349 Tô Hiến Thành, Phường Quang Trung, TP. Vinh, Nghệ An","406 Phạm Văn Đồng, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",087/797064,Online,Chấp thuận,2022-04-15
ADM-458757,054367995214,Đỗ Thành Lan,0772767701,Giấy phép xây dựng,UBND Huyện Gia Lâm,2024-09-22,2024-10-12,Từ chối,do.thanh.lan835@outlook.com,054367995214,9923630292,100000,NV-413147,"162 Nam Kỳ Khởi Nghĩa, Phường Vĩnh Thanh Vân, TP. Rạch Giá, Kiên Giang","415 Lê Văn Sỹ, Phường Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",008/796955,Online,Từ chối,2022-11-07
ADM-993019,027266173463,Huỳnh Thị Nam,0838354520,Đăng ký kết hôn,UBND Quận Bình Thạnh,2022-02-28,2022-04-24,Chờ bổ sung hồ sơ,huynh.thi.nam614@yahoo.com,027266173463,3113754983,0,NV-105926,"148 Lê Văn Sỹ, Phường Châu Phú A, TP. Châu Đốc, An Giang","327 Trường Chinh, Phường Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",087/763664,Online,Từ chối,2023-03-22
ADM-301673,036368377349,Huỳnh Thanh Giang,0918810364,Hộ chiếu,UBND TP. Hà Nội,2024-12-04,2024-12-16,Hoàn thành,huynh.thanh.giang632@outlook.com,036368377349,3230597944,100000,NV-522904,"26 Trần Phú, Phường Ba Đình, TP. Thanh Hóa, Thanh Hóa","175 Trần Phú, Xã Hương Toàn, TX. Hương Trà, Thừa Thiên Huế",019/543374,Bưu điện,Đang xem xét,2022-07-09
ADM-403007,068372753429,Phạm Quốc Xuân,0349740349,Ly hôn,UBND Quận 1,2024-07-12,2024-07-22,Đang xử lý,pham.quoc.xuan919@gmail.com,068372753429,3924262520,50000,NV-876656,"394 Đinh Tiên Hoàng, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương","292 Nguyễn Trãi, Thị trấn An Dương, Huyện An Dương, Hải Phòng",080/992546,Trực tiếp,Đang xem xét,2022-08-30
ADM-124978,064290138792,Vũ Phương Mai,0862213371,Khai tử,UBND Huyện Gia Lâm,2022-12-01,2023-01-13,Từ chối,vu.phuong.mai68@outlook.com,064290138792,1706758264,200000,NV-326912,"455 Lê Văn Sỹ, Phường Bắc Sơn, TP. Tam Điệp, Ninh Bình","331 Lê Văn Sỹ, Phường Hưng Bình, TP. Vinh, Nghệ An",089/982692,Online,Từ chối,2023-08-05
