txn_id,initiator_key,sender_fullname,acct_a,val_c,acct_b,receiver_name,so_tien,loai_tien_te,loai_giao_dich,kenh_giao_dich,trang_thai,notify_ref,ip_addr,device_fingerprint,geo_label,receiver_phone,phi_giao_dich,created_at,batch_id
TXN-986843,031200902211,Lý Bảo Xuân,46710153559257,0832514190,9103889376,Phan Thanh Dũng,200000,VND,Mua sắm online,Quầy giao dịch,Thành công,ly.bao.xuan886@outlook.com,108.112.189.248,a7edc9bcd744eef2cd1adffdbb6a32f6,Hưng Yên,0859719077,1000,2023-12-13,BATCH-2050
TXN-106791,042069593063,Lê Xuân Lan,96030639928,0821173576,8009212310731,Huỳnh Thị Yến,50000,VND,Nạp tiền,POS,Chờ xác nhận,le.xuan.lan483@hotmail.com,127.175.110.111,a907339c6aacceead24e9b6bcc1b7aaa,Đà Nẵng,0334708457,5000,2024-05-12,BATCH-4267
TXN-141766,083162432612,Đỗ Thùy Tuấn,469271032532948,0766905933,279773558,Trần Bảo Uyên,500000,VND,Thanh toán hóa đơn,Mobile Banking,Thành công,do.thuy.tuan5@gmail.com,96.59.242.23,d78cb909fa6c11e0e03aa963d10dfbad,Hải Phòng,0378886241,0,2022-07-09,BATCH-5301
TXN-429536,096373392037,Trần Thanh Nga,16155174383358,0598340176,6484068898708491,Hoàng Thanh Châu,50000000,VND,Mua sắm online,POS,Thất bại,tran.thanh.nga242@gmail.com,242.246.219.184,fdb2cd652116c6e163de62cc9269dce2,Thanh Hóa,0929154560,10000,2023-08-16,BATCH-5915
TXN-333548,012286641729,Hồ Thị Sơn,521671947,0922267710,1721312736537,Huỳnh Anh Quân,50000000,VND,Thanh toán thẻ,Quầy giao dịch,Thành công,ho.thi.son615@gmail.com,221.55.160.117,eed1aebb9ec5885fa88dd889dffa08f1,Cần Thơ,0565662527,10000,2023-02-10,BATCH-7248
TXN-767527,080078059816,Huỳnh Đức Nga,45864536398,0941386476,1438104308,Phạm Đức Dũng,20000000,VND,Nạp tiền,Quầy giao dịch,Thất bại,huynh.duc.nga305@outlook.com,115.8.227.50,ec5f5b81ff8ba0be2b8350a11144fed9,Hải Dương,0911756217,0,2024-12-02,BATCH-7818
TXN-911920,074370643043,Vũ Anh Tâm,96346497307,0333491198,46752550189,Huỳnh Phương Mai,2000000,VND,Thanh toán thẻ,Mobile Banking,Đang xử lý,vu.anh.tam857@outlook.com,136.119.60.66,677a0fed0ee6f6ffa48ae80deebee481,TP. Hồ Chí Minh,0816446926,1000,2022-11-02,BATCH-9620
TXN-749585,020098930269,Ngô Quốc Thảo,0482942948647378,0598681923,796242006060136,Đặng Xuân Xuân,200000,VND,Thanh toán hóa đơn,Quầy giao dịch,Thành công,ngo.quoc.thao466@outlook.com,150.97.182.53,baa0236c68bd531ccaeea5a08ed2aee8,Bình Dương,0336945575,0,2024-08-01,BATCH-5198
TXN-151963,049096001762,Phạm Hữu Linh,3572572469,0889163962,59510088608,Vũ Minh Linh,5000000,VND,Chuyển khoản,Mobile Banking,Chờ xác nhận,pham.huu.linh755@protonmail.com,67.83.140.115,b0b6cddfbcbe6dbaeb2db5edeeaaafb8,Ninh Bình,0765700426,5000,2024-07-10,BATCH-2306
TXN-671685,031185837612,Nguyễn Xuân Dũng,409780205034,0393521874,0409455758788796,Đặng Ngọc Phúc,500000,VND,Chuyển khoản,ATM,Chờ xác nhận,nguyen.xuan.dung989@protonmail.com,73.48.158.207,6717a5263f65698be6a008bdcdc0bd10,Hưng Yên,0821966573,1000,2024-05-03,BATCH-1737
TXN-296633,035380161964,Lý Ngọc Tuấn,92738316413,0771054077,774379035,Vũ Đức Toàn,50000,VND,Chuyển khoản,Mobile Banking,Đang xử lý,ly.ngoc.tuan497@protonmail.com,187.48.78.169,66a1c0e28d7f7abb40bbaa1db3832ea8,Bắc Ninh,0853648966,2000,2024-12-08,BATCH-7701
TXN-994847,022374233058,Vũ Ngọc Bình,586151168984960,0783453563,17866288447772,Bùi Phương Châu,50000,VND,Nạp tiền,POS,Thành công,vu.ngoc.binh901@outlook.com,218.241.202.215,49badf2a72bddb3616529628aceece65,An Giang,0851576009,5000,2023-12-19,BATCH-6585
TXN-439492,060363077258,Huỳnh Xuân Bình,779309288,0978469014,237437100,Dương Thị Xuân,50000000,VND,Thanh toán thẻ,Mobile Banking,Thành công,huynh.xuan.binh725@protonmail.com,149.221.95.33,0fa449cccdd89cdfbcd07d7efb2df5b7,Thừa Thiên Huế,0904392964,10000,2022-08-21,BATCH-4072
TXN-299181,068288034239,Bùi Văn Việt,4930947798,0385867403,04467436964905,Phạm Xuân Dũng,50000,VND,Thanh toán thẻ,Internet Banking,Thất bại,bui.van.viet145@protonmail.com,42.154.167.249,affb8b6a7caf4cbfe8208db4bdcaa3f9,Bình Dương,0914602431,5000,2024-06-26,BATCH-9681
TXN-214109,035377915694,Vũ Trung Hà,19247926216697,0351191410,843680070574188,Lý Quốc Uyên,50000000,VND,Thanh toán hóa đơn,Quầy giao dịch,Đang xử lý,vu.trung.ha669@protonmail.com,121.224.234.181,edfeddac759bc868bb9f862e2dc7e268,Hải Dương,0972969298,1000,2023-11-20,BATCH-6668
TXN-634244,092096760202,Đặng Quốc Uyên,0574719580,0866050508,0309631272583,Trần Bảo Tuấn,2000000,VND,Rút tiền,Quầy giao dịch,Đang xử lý,dang.quoc.uyen974@gmail.com,183.176.162.137,f3dabaad319fd9fa99afeaab517adfa3,Bắc Ninh,0357812397,10000,2023-01-20,BATCH-2819
TXN-739535,067178338148,Trần Xuân Tâm,193809301506870,0881133676,3780843410,Phạm Minh Châu,10000000,VND,Nạp tiền,ATM,Đang xử lý,tran.xuan.tam670@yahoo.com,33.178.165.22,c84db6e5eb22f503afcfbe1918c1c557,An Giang,0948141042,2000,2023-07-02,BATCH-6061
TXN-601526,027261543085,Lý Hữu Quân,251480205,0705269434,20139334129,Phạm Minh Linh,100000,VND,Rút tiền,ATM,Chờ xác nhận,ly.huu.quan326@outlook.com,100.91.175.6,87cee27cebb1ec3e6faac1abe6ea3ccd,Nghệ An,0942133365,0,2024-12-18,BATCH-9992
TXN-443973,082097418918,Bùi Thùy Yến,5213471741,0856308092,4003502080384650,Hoàng Thành An,50000,VND,Thanh toán hóa đơn,Quầy giao dịch,Thất bại,bui.thuy.yen554@yahoo.com,208.100.164.78,a6e5eb837e42bdd08f22dfc5c8dd9fcd,TP. Hồ Chí Minh,0843827574,1000,2022-12-12,BATCH-7239
TXN-974763,080077143497,Lê Ngọc Xuân,77063652044440,0328616026,0890755413316827,Phan Hữu Long,20000000,VND,Thanh toán thẻ,Mobile Banking,Chờ xác nhận,le.ngoc.xuan250@outlook.com,25.211.250.8,1fbbd5cb00a5fe81c6d50efc9d6ca986,Đồng Nai,0321710602,2000,2023-01-21,BATCH-9978
TXN-849671,030380500187,Đặng Quốc Châu,3752236226,0396097824,794491549139,Lý Đức Giang,50000,VND,Thanh toán hóa đơn,Quầy giao dịch,Chờ xác nhận,dang.quoc.chau789@protonmail.com,250.107.98.231,b924ce6fca5cb33f22d40c0b29515e55,Cần Thơ,0774318751,5000,2022-08-07,BATCH-3442
TXN-252547,060177797937,Hoàng Văn Xuân,87708943149,0829915550,3465970932,Vũ Bảo Toàn,20000000,VND,Thanh toán hóa đơn,Quầy giao dịch,Thành công,hoang.van.xuan916@outlook.com,79.151.169.197,87cf7af580f7fa0f609ba95cf9181a0a,Đà Nẵng,0369070571,1000,2023-11-23,BATCH-4896
TXN-760657,093092683334,Bùi Quốc Toàn,817481537277,0863898593,388139095035,Phan Ngọc Giang,200000,VND,Thanh toán thẻ,ATM,Thành công,bui.quoc.toan970@protonmail.com,123.164.25.185,ee33a7313dbefdfcbf68b7ac9ff6daed,Đồng Nai,0824791795,1000,2023-09-22,BATCH-4311
TXN-187026,072163407154,Trần Đức Long,7903732190513,0368244648,382803605083737,Vũ Đức Hà,200000,VND,Thanh toán hóa đơn,Internet Banking,Chờ xác nhận,tran.duc.long903@yahoo.com,236.196.20.214,aabc5baee3f2cefa7f684fc92d420be7,Bắc Ninh,0767004200,1000,2022-02-09,BATCH-4924
TXN-427572,054092462202,Lý Anh Xuân,4481886503,0832771923,930091054644,Hồ Hữu Bình,1000000,VND,Thanh toán thẻ,Internet Banking,Đang xử lý,ly.anh.xuan345@hotmail.com,170.224.110.146,a902a9eaf7ab0afcb13e450f5da1fae3,Nghệ An,0705393748,0,2023-07-27,BATCH-8368
TXN-815077,012284282984,Nguyễn Ngọc Tâm,1783814276378,0343543018,38447865318,Hoàng Thùy Nam,2000000,VND,Thanh toán thẻ,POS,Chờ xác nhận,nguyen.ngoc.tam213@outlook.com,93.78.215.163,de864baa7cee257c6cdefcc96ebf26e1,Thái Nguyên,0364041054,10000,2022-04-25,BATCH-7217
TXN-866661,077386858538,Đặng Thanh Châu,3422557869,0864758972,396487138642,Đặng Thùy Quân,500000,VND,Chuyển khoản,Internet Banking,Chờ xác nhận,dang.thanh.chau147@gmail.com,237.179.107.204,d7e6eacc1574ddfbcfe97e4f3e2e07f9,Cần Thơ,0348080048,1000,2022-08-17,BATCH-2136
TXN-462380,035171985669,Hoàng Thanh Phúc,8904166586747,0896933767,66380456168,Huỳnh Phương Quân,500000,VND,Rút tiền,Internet Banking,Chờ xác nhận,hoang.thanh.phuc758@outlook.com,4.109.230.174,212c7acbbaa02dbb104d282fef02a124,Thừa Thiên Huế,0786102621,10000,2022-05-08,BATCH-6518
TXN-637517,056286052804,Đỗ Văn Yến,04649964851889,0815503115,8684719265,Hoàng Ngọc Thảo,50000,VND,Chuyển khoản,Mobile Banking,Thất bại,do.van.yen239@yahoo.com,225.213.115.41,95bba6d3a37dd94f6ab4dcd1b1a9af2c,Hải Dương,0983843758,2000,2023-06-29,BATCH-2945
TXN-252695,019385569109,Đỗ Thành Việt,542637011721,0347307681,15261181588926,Bùi Thùy Hà,20000000,VND,Rút tiền,Mobile Banking,Thành công,do.thanh.viet113@yahoo.com,44.127.107.246,6a4efd0b01dfedbc7b39abeabdd4aeb2,Thái Nguyên,0335623254,1000,2023-12-18,BATCH-5719
TXN-493330,054275676198,Hoàng Thanh Sơn,625393933329,0566082530,63517519389,Vũ Anh Sơn,2000000,VND,Thanh toán hóa đơn,Quầy giao dịch,Thành công,hoang.thanh.son503@yahoo.com,199.104.43.205,dddae3fb69bacb6cfa0c9bfab7ba978d,Hà Nội,0968788502,2000,2023-02-02,BATCH-5162
TXN-463489,008273449500,Phan Văn Quân,210960922249235,0904282040,87304410605052,Phan Thanh Long,20000000,VND,Mua sắm online,Internet Banking,Chờ xác nhận,phan.van.quan947@hotmail.com,52.22.25.226,c716fbf14281dffc2cfaa4a986a77476,Bắc Ninh,0567279910,1000,2024-12-01,BATCH-1855
TXN-279121,001160548645,Phạm Hữu Giang,11561890005619,0854167162,379358462569,Hồ Hữu Quân,500000,VND,Thanh toán thẻ,Quầy giao dịch,Chờ xác nhận,pham.huu.giang655@yahoo.com,87.1.29.158,a0a43fdfad01abac92dcdc6e7d3dde1d,Hải Phòng,0912606348,0,2024-04-29,BATCH-3236
TXN-409606,025091334866,Lý Bảo Mai,350558471050705,0781864946,9520312153689,Phạm Văn Quân,100000000,VND,Chuyển khoản,Internet Banking,Thành công,ly.bao.mai705@yahoo.com,139.106.60.217,daf26b6b8b0145cd47e635da5edd161a,Kiên Giang,0387636642,2000,2024-01-16,BATCH-1489
TXN-949646,042385477560,Dương Quốc Toàn,39368471561,0981828956,469624031,Nguyễn Bảo Quân,2000000,VND,Thanh toán hóa đơn,ATM,Đang xử lý,duong.quoc.toan174@gmail.com,24.126.185.143,b9dbcd9a9ee588bdb6dd40c6670bb2b3,Hà Nội,0934873394,10000,2022-05-11,BATCH-7798
TXN-949663,030269558141,Phạm Hữu Nga,854005340273,0583977272,70438425840,Huỳnh Minh Uyên,2000000,VND,Thanh toán thẻ,Mobile Banking,Đang xử lý,pham.huu.nga744@hotmail.com,120.161.25.14,a69ca6d82c4cabd487acc20ad7a3f4c3,TP. Hồ Chí Minh,0937828177,5000,2023-03-05,BATCH-7822
TXN-715265,096079831132,Hồ Ngọc Giang,44215543776,0984065164,9970808525,Huỳnh Thanh Linh,20000000,VND,Mua sắm online,ATM,Thành công,ho.ngoc.giang395@yahoo.com,103.11.89.191,eed07dd171d4cced2d56e63e015bb2d6,Hưng Yên,0389636285,5000,2024-08-26,BATCH-7223
TXN-529549,036275954329,Lê Văn Nam,00777436206398,0386228115,7445957986294,Phan Trung Yến,100000000,VND,Thanh toán thẻ,Mobile Banking,Thất bại,le.van.nam174@hotmail.com,159.130.109.227,9f99bfab708e97bfac3a9d9e446e24f4,Cần Thơ,0898504546,0,2022-06-14,BATCH-2521
TXN-928895,014291553081,Hồ Anh Châu,4463519504391,0345231402,1890345870,Huỳnh Đức Hùng,50000,VND,Rút tiền,Quầy giao dịch,Thành công,ho.anh.chau357@gmail.com,200.72.182.28,e24e2b8bdb13728b9010db21cc2b785f,Đồng Nai,0329622905,0,2022-04-26,BATCH-9076
TXN-353494,079179793828,Bùi Xuân Giang,352029010,0885481676,7006493003102,Trần Thành Thảo,2000000,VND,Mua sắm online,Internet Banking,Chờ xác nhận,bui.xuan.giang304@yahoo.com,92.230.165.56,fda2992bfb6ecf8ecb9dd6161825fef0,Hưng Yên,0792889839,2000,2023-09-17,BATCH-1388
TXN-467046,083069333776,Nguyễn Trung Việt,668376086,0361966848,012698509245,Đỗ Trung Lan,50000000,VND,Mua sắm online,Quầy giao dịch,Đang xử lý,nguyen.trung.viet225@protonmail.com,146.148.208.126,62fb9cfa11adcffee1cba12ca6c6c7fc,TP. Hồ Chí Minh,0945054025,0,2023-08-27,BATCH-9483
TXN-184310,087102818658,Đặng Ngọc Linh,1925335252,0894688814,16272143440705,Phạm Hữu Dũng,200000,VND,Mua sắm online,Mobile Banking,Đang xử lý,dang.ngoc.linh459@gmail.com,79.169.163.207,e09be06ecdc188bcd75af3a03dfaffa3,Hà Nội,0708668165,1000,2023-08-13,BATCH-3573
TXN-433518,087069512218,Dương Thanh Châu,9126653101258,0593238430,37384532420,Lý Anh Thảo,100000,VND,Mua sắm online,POS,Thất bại,duong.thanh.chau803@outlook.com,48.52.221.168,469d29e7cfefb8abddfbe4fca9ae2e2b,Ninh Bình,0976059315,1000,2024-08-02,BATCH-4928
TXN-238943,017272794600,Hồ Bảo Toàn,718948267,0374511325,4531946314351681,Đỗ Thùy Dũng,50000000,VND,Nạp tiền,Mobile Banking,Đang xử lý,ho.bao.toan446@protonmail.com,116.41.108.137,4e6da7dd20dd7bd6bcac230efd5bdab6,Kiên Giang,0594890656,0,2024-01-12,BATCH-4479
TXN-651836,031275588496,Ngô Thành Hà,5921770503130974,0942655878,99633098658396,Huỳnh Thanh Châu,20000000,VND,Rút tiền,Quầy giao dịch,Thành công,ngo.thanh.ha59@outlook.com,98.136.37.102,6ab1cc7e235fdf65d74cd9d6b254c145,Cần Thơ,0898407369,1000,2022-09-06,BATCH-9117
TXN-677206,083164208791,Phạm Phương Yến,6611551803,0845303671,03653014582948,Đặng Ngọc Hùng,10000000,VND,Mua sắm online,Mobile Banking,Đang xử lý,pham.phuong.yen356@hotmail.com,81.15.187.250,6bd5abffbebee23d4d08eda8dd9eee22,Thừa Thiên Huế,0943473320,0,2023-04-29,BATCH-6141
TXN-963148,008292210556,Hồ Thùy Long,6095238049010319,0975982981,657992459229096,Trần Quốc Hùng,100000000,VND,Nạp tiền,Internet Banking,Chờ xác nhận,ho.thuy.long851@outlook.com,164.133.207.145,b01c4fbcefcbe8282e8c46efce16a23a,Quảng Ninh,0947916927,10000,2022-06-25,BATCH-3191
TXN-145425,054182577080,Trần Hữu Giang,600860539,0358664159,2494418476,Bùi Thị Yến,1000000,VND,Thanh toán hóa đơn,Mobile Banking,Chờ xác nhận,tran.huu.giang423@gmail.com,40.84.77.240,c267d9cbbea146f9a899b5c1c72bddee,Nghệ An,0906491520,10000,2023-04-15,BATCH-8197
TXN-235467,027076223231,Đặng Thành An,43821650280,0386214365,0635879422756,Đỗ Thành Sơn,50000,VND,Thanh toán thẻ,Mobile Banking,Thất bại,dang.thanh.an933@outlook.com,14.193.192.136,1baa083d9e68360a9c9acf8e476f2424,Kiên Giang,0867560675,2000,2022-04-12,BATCH-9803
TXN-153278,070282779259,Dương Thị Phúc,526850660557468,0903293399,04572577180,Lý Thị Quân,500000,VND,Thanh toán thẻ,Quầy giao dịch,Đang xử lý,duong.thi.phuc891@outlook.com,205.80.194.251,9dd65dc5dd320fcf8b8b23873cc10c7a,Hưng Yên,0367439925,1000,2022-04-12,BATCH-5442
TXN-888640,082168491546,Phạm Hữu Xuân,31735463157648,0904529993,08992459014742,Lý Thanh Xuân,2000000,VND,Nạp tiền,Internet Banking,Đang xử lý,pham.huu.xuan486@yahoo.com,222.111.124.133,bcef66abb4b2dbe32cef3ecf5b63cddd,Đà Nẵng,0786286054,1000,2022-10-21,BATCH-9245
TXN-677587,082165593850,Phạm Anh Toàn,1662588684103259,0585794379,193728778966114,Huỳnh Phương Quân,20000000,VND,Mua sắm online,Mobile Banking,Đang xử lý,pham.anh.toan272@protonmail.com,253.55.163.203,04d182fd247b10cdffa0930f7cf6f822,Thanh Hóa,0351822075,5000,2023-05-14,BATCH-2743
TXN-986648,080372072220,Đỗ Đức Nga,01931837293090,0592938547,6041229828721,Hoàng Đức Quân,50000,VND,Nạp tiền,Quầy giao dịch,Thành công,do.duc.nga345@yahoo.com,251.171.232.236,1f00d0eaba09a596e9dca74de9ac7579,Cần Thơ,0772363604,0,2023-10-17,BATCH-9088
TXN-293191,082164419911,Vũ Đức Uyên,770605387756,0887942532,058311285,Đặng Thùy Lan,50000000,VND,Nạp tiền,ATM,Thất bại,vu.duc.uyen453@gmail.com,115.200.204.107,a09e2be2e44f2f06c4d734e9448fd6c9,TP. Hồ Chí Minh,0984008463,1000,2023-11-30,BATCH-4933
TXN-520710,030303954334,Hồ Hữu Tuấn,960112675832609,0924913290,224900143,Vũ Minh An,500000,VND,Thanh toán hóa đơn,POS,Chờ xác nhận,ho.huu.tuan901@hotmail.com,160.149.65.64,d1bb2860f960d2ee4bf2a5ba900d22ce,Đồng Nai,0943284335,5000,2024-03-18,BATCH-8470
TXN-244225,038192819787,Bùi Xuân Tâm,84779935114922,0377235078,589577861198374,Đặng Anh Dũng,5000000,VND,Chuyển khoản,Internet Banking,Đang xử lý,bui.xuan.tam844@hotmail.com,244.206.252.233,772fc053d8cecc266e69fac95cfcf4e1,Kiên Giang,0969034513,1000,2022-11-12,BATCH-4125
TXN-371077,033075097134,Lê Hữu Hà,8151887273914104,0785539966,8321982187889708,Lý Thành Yến,100000,VND,Thanh toán hóa đơn,Internet Banking,Thành công,le.huu.ha125@protonmail.com,252.113.150.82,d9dabc046b65bfeff786bcbbb2f6579d,Thanh Hóa,0562696689,5000,2024-07-18,BATCH-7608
TXN-639147,010298794265,Huỳnh Xuân Xuân,13730415671986,0789471851,6908922120488,Phạm Thanh Hà,5000000,VND,Thanh toán thẻ,Mobile Banking,Chờ xác nhận,huynh.xuan.xuan562@outlook.com,77.113.25.36,e44ae42c7bac35c05dcaeef73bd9f55f,Hải Dương,0915130226,0,2023-10-03,BATCH-3216
TXN-941789,051063753216,Bùi Minh Uyên,800000422620959,0353614810,176184472,Hoàng Thành Yến,1000000,VND,Chuyển khoản,Quầy giao dịch,Đang xử lý,bui.minh.uyen465@outlook.com,181.101.139.27,5a1efd0bb8bef3252a41b0ca6aa8a0b8,Quảng Ninh,0705984361,0,2024-05-09,BATCH-7117
TXN-489135,075297711474,Trần Ngọc Thảo,5801002311137977,0389056509,639340668,Dương Thành Lan,10000000,VND,Thanh toán hóa đơn,ATM,Thành công,tran.ngoc.thao183@protonmail.com,152.232.113.147,5ed05d85b9bddfb61c8f9cac426ad4ff,TP. Hồ Chí Minh,0798144582,1000,2024-08-18,BATCH-3736
TXN-276992,010201316730,Dương Quốc Long,204496088445,0907967599,979768792389685,Dương Phương Toàn,100000000,VND,Mua sắm online,Internet Banking,Đang xử lý,duong.quoc.long279@yahoo.com,199.222.136.104,283e18879a1e808aeb8ddedff29f9aa1,Hà Nội,0328496747,5000,2023-02-18,BATCH-9128
TXN-773141,066272921987,Lê Minh Tâm,5795824396,0709425695,4685422501336,Hồ Minh Long,5000000,VND,Thanh toán thẻ,POS,Thành công,le.minh.tam439@protonmail.com,108.50.52.6,a7f5ed85beb1b7704457bee452e0addb,Bình Dương,0838127692,0,2024-11-26,BATCH-9384
TXN-303442,095285004976,Hồ Bảo Nam,9194037250,0938704158,303385432029727,Bùi Bảo Giang,2000000,VND,Thanh toán thẻ,Internet Banking,Thành công,ho.bao.nam290@outlook.com,7.127.218.230,ef85cc6edcb5741bbf01b9b1759ee96a,Hải Dương,0796233223,5000,2022-12-16,BATCH-9721
TXN-906375,091279899889,Hoàng Thùy An,517044729931,0889737216,9061144799551,Bùi Thùy Sơn,50000,VND,Nạp tiền,Internet Banking,Thất bại,hoang.thuy.an875@gmail.com,5.11.163.9,dbeccd2a7aa5ddb5a6ddc84e21d1e488,Bắc Ninh,0795443794,0,2024-02-08,BATCH-6548
TXN-680678,052286442594,Ngô Anh Thảo,264593893803213,0779974432,08678029052432,Vũ Trung Hà,10000000,VND,Thanh toán thẻ,POS,Thành công,ngo.anh.thao978@gmail.com,32.133.219.209,7fbb7cd6eaba0dea9adbf950fab77b32,Bình Dương,0761217426,2000,2023-12-09,BATCH-8762
TXN-747809,077182119519,Đỗ Thị Long,66525355196582,0893721147,61000228022754,Nguyễn Thành Uyên,5000000,VND,Chuyển khoản,Quầy giao dịch,Chờ xác nhận,do.thi.long393@yahoo.com,207.72.150.19,dc2d1fd4fea9187fb806b670fad9db11,Hưng Yên,0358333027,0,2022-12-12,BATCH-8390
