emp_id,so_cccd,ho_ten_nv,d_entry,sdt_ca_nhan,personal_email,work_email,res_data,phong_ban,chuc_vu,m_val,stk_ngan_hang,ten_ngan_hang,t_code,ins_num,ngay_vao_lam,loai_hop_dong,noi_lam_viec,manager_id,created_at
EMP-904001,030278924623,Huỳnh Thành Bình,1978-10-03,0937925589,huynh.thanh.binh189@hotmail.com,huynh.thanh.binh@vnpt.vn,"385 Tô Hiến Thành, Phường Tây Lộc, TP. Huế, Thừa Thiên Huế",Tài chính - Kế toán,Chuyên viên,16500000,003613415739653,MB Bank,030278924623,2821250226,2015-04-09,Chính thức,Cần Thơ,EMP-223630,2022-02-05
EMP-795990,004166202406,Nguyễn Thành Châu,1966-07-11,0845531506,nguyen.thanh.chau530@hotmail.com,nguyen.thanh.chau@masan.com.vn,"180 Bà Triệu, Phường Thủy Phương, TX. Hương Thủy, Thừa Thiên Huế",Vận hành,Giám đốc,11000000,5075855283416002,Sacombank,004166202406,4629509770,2012-07-17,Cộng tác viên,Đà Nẵng,EMP-240545,2022-09-19
EMP-628906,011293226904,Huỳnh Thùy Yến,1993-12-14,0882149044,huynh.thuy.yen895@hotmail.com,huynh.thuy.yen@viettel.com.vn,"129 Cách Mạng Tháng 8, Phường Trần Phú, TP. Hải Dương, Hải Dương",Pháp lý,Trưởng phòng,48000000,9032232683927953,BIDV,011293226904,8558841770,2017-08-15,Chính thức,Thanh Hóa,EMP-301935,2024-06-09
EMP-694868,026184830422,Phạm Trung Việt,1984-05-12,0918844616,pham.trung.viet657@hotmail.com,pham.trung.viet@masan.com.vn,"236 Hai Bà Trưng, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai",Mua hàng,Giám đốc,18000000,40712583638,VPBank,026184830422,9498122503,2020-10-03,Thời vụ,Hải Dương,EMP-478790,2022-01-23
EMP-819280,086190841862,Trần Trung An,1990-12-21,0337060520,tran.trung.an445@protonmail.com,tran.trung.an@viettel.com.vn,"412 Bà Triệu, Xã Dương Hòa, Huyện Kiên Lương, Kiên Giang",Kinh doanh,Giám đốc,28500000,3119823983,Vietcombank,086190841862,8670460680,2019-06-18,Thời vụ,Cần Thơ,EMP-609395,2023-04-19
EMP-407874,051064049393,Dương Thành Mai,1964-09-11,0855835856,duong.thanh.mai13@gmail.com,duong.thanh.mai@masan.com.vn,"146 Nguyễn Huệ, Xã Phú Cường, Huyện Đại Từ, Thái Nguyên",Kỹ thuật,Trưởng phòng,44500000,590803608261,TPBank,051064049393,2879585449,2016-03-01,Cộng tác viên,Thái Nguyên,EMP-182209,2022-07-23
EMP-574608,031078154423,Bùi Thành Toàn,1978-01-18,0779540529,bui.thanh.toan836@protonmail.com,bui.thanh.toan@fpt.com.vn,"219 Cách Mạng Tháng 8, Xã Hoằng Phú, Huyện Hoằng Hóa, Thanh Hóa",Mua hàng,Phó giám đốc,31500000,9144508086855567,TPBank,031078154423,5254987078,2022-06-06,Thời vụ,Thái Nguyên,EMP-708326,2024-06-03
EMP-819655,020184962545,Bùi Thùy Xuân,1984-04-23,0938120096,bui.thuy.xuan257@protonmail.com,bui.thuy.xuan@vingroup.net,"329 Nguyễn Văn Cừ, Phường Đông Ngàn, TP. Từ Sơn, Bắc Ninh",Pháp lý,Trưởng nhóm,10500000,4864904929341,VietinBank,020184962545,9507182303,2014-04-20,Thời vụ,Cần Thơ,EMP-682106,2024-01-02
EMP-876196,008388279172,Bùi Thanh An,1988-06-05,0707476929,bui.thanh.an910@yahoo.com,bui.thanh.an@vingroup.net,"209 Tô Hiến Thành, Phường Tứ Hạ, TX. Hương Trà, Thừa Thiên Huế",Marketing,Giám đốc,14000000,057439243617,ACB,008388279172,6569079232,2023-03-14,Chính thức,Nghệ An,EMP-146071,2022-10-23
EMP-483150,077091451500,Huỳnh Thanh Uyên,1991-09-17,0701901478,huynh.thanh.uyen231@yahoo.com,huynh.thanh.uyen@vnpt.vn,"162 Lê Văn Sỹ, Phường Nhân Hòa, TX. Mỹ Hào, Hưng Yên",Pháp lý,Phó giám đốc,39000000,6739376597280700,ACB,077091451500,4360362008,2021-10-31,Chính thức,Bắc Ninh,EMP-666916,2024-03-07
EMP-238285,034087822019,Hoàng Đức Tâm,1987-11-30,0947605213,hoang.duc.tam635@outlook.com,hoang.duc.tam@fpt.com.vn,"212 Nguyễn Văn Cừ, Phường Châu Khê, TP. Từ Sơn, Bắc Ninh",Công nghệ thông tin,Phó giám đốc,10500000,4215666191791565,VPBank,034087822019,3422830522,2023-07-30,Thời vụ,Thái Nguyên,EMP-827252,2024-05-16
EMP-936710,036302157447,Vũ Minh Hùng,2002-08-13,0565897058,vu.minh.hung857@protonmail.com,vu.minh.hung@techcombank.com.vn,"77 Đinh Tiên Hoàng, Phường Nghi Hòa, TX. Cửa Lò, Nghệ An",Công nghệ thông tin,Giám đốc,7500000,288361000923267,Sacombank,036302157447,6865825062,2014-10-25,Thời vụ,Thanh Hóa,EMP-271468,2024-11-25
EMP-743112,002190734178,Phan Văn Thảo,1990-07-25,0882497573,phan.van.thao988@protonmail.com,phan.van.thao@vnpt.vn,"400 Hoàng Văn Thụ, Xã Đại Đồng, Huyện Văn Lâm, Hưng Yên",Marketing,Phó phòng,6000000,879673144015,VietinBank,002190734178,7113012194,2010-04-02,Cộng tác viên,Hưng Yên,EMP-707443,2024-09-16
EMP-795997,001200759667,Vũ Trung Tuấn,2000-06-30,0351001576,vu.trung.tuan47@protonmail.com,vu.trung.tuan@fpt.com.vn,"349 Nguyễn Huệ, Phường Túc Duyên, TP. Thái Nguyên, Thái Nguyên",Chăm sóc khách hàng,Thực tập sinh,24000000,852441959386,VietinBank,001200759667,3522334229,2018-09-29,Cộng tác viên,Đồng Nai,EMP-987363,2023-12-19
EMP-337074,079063288895,Vũ Quốc Long,1963-06-09,0892431001,vu.quoc.long925@gmail.com,vu.quoc.long@techcombank.com.vn,"307 Trần Phú, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương",Marketing,Chuyên viên,30500000,543946194,ACB,079063288895,6056050836,2019-06-19,Cộng tác viên,Bình Dương,EMP-646697,2024-02-03
EMP-802209,025165457681,Đỗ Thanh Dũng,1965-11-23,0396404983,do.thanh.dung669@hotmail.com,do.thanh.dung@fpt.com.vn,"37 Lý Thường Kiệt, Phường Mỏ Chè, TP. Sông Công, Thái Nguyên",Kỹ thuật,Trưởng phòng,28500000,767947528,BIDV,025165457681,6675442544,2024-05-07,Chính thức,Bình Dương,EMP-178580,2022-02-11
EMP-280454,010101275188,Đỗ Anh Uyên,2001-03-12,0824414610,do.anh.uyen11@gmail.com,do.anh.uyen@viettel.com.vn,"206 Trường Chinh, Thị trấn An Dương, Huyện An Dương, Hải Phòng",Kinh doanh,Phó phòng,42500000,127737726722368,TPBank,010101275188,5441673600,2011-09-07,Thời vụ,Hưng Yên,EMP-609153,2024-11-24
EMP-734157,019387396118,Bùi Thành Việt,1987-10-19,0857681667,bui.thanh.viet769@hotmail.com,bui.thanh.viet@techcombank.com.vn,"396 Nguyễn Huệ, Phường Vĩnh Thanh, TP. Rạch Giá, Kiên Giang",Nhân sự,Phó phòng,39000000,5312577670247,ACB,019387396118,6062725042,2022-05-30,Thời vụ,Hưng Yên,EMP-576698,2024-03-06
EMP-198261,080274936515,Huỳnh Hữu Yến,1974-01-01,0766603155,huynh.huu.yen940@protonmail.com,huynh.huu.yen@techcombank.com.vn,"393 Điện Biên Phủ, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai",Mua hàng,Giám đốc,30000000,640020665753,Sacombank,080274936515,9890216545,2022-08-26,Chính thức,Hà Nội,EMP-354025,2022-12-30
EMP-988706,019360247728,Đỗ Phương Bình,1960-02-20,0772251798,do.phuong.binh158@hotmail.com,do.phuong.binh@masan.com.vn,"396 Nguyễn Văn Cừ, Phường Mỹ Bình, TP. Long Xuyên, An Giang",Chăm sóc khách hàng,Phó phòng,21500000,24483808723,Agribank,019360247728,8163448277,2011-04-11,Thử việc,Bắc Ninh,EMP-878444,2023-09-30
EMP-574906,011291476080,Hồ Thị Toàn,1991-02-16,0782155591,ho.thi.toan786@outlook.com,ho.thi.toan@vnpt.vn,"281 Phan Đình Phùng, Phường Cẩm Tây, TP. Cẩm Phả, Quảng Ninh",Marketing,Trưởng phòng,44000000,85576881671714,VPBank,011291476080,6992918914,2010-06-21,Thử việc,Ninh Bình,EMP-596404,2024-07-18
EMP-427942,031088546010,Đỗ Văn Lan,1988-12-25,0366354908,do.van.lan349@gmail.com,do.van.lan@techcombank.com.vn,"257 Võ Thị Sáu, Phường Nghi Thu, TX. Cửa Lò, Nghệ An",Pháp lý,Trưởng nhóm,20000000,9274861959522300,BIDV,031088546010,2583928583,2021-03-22,Thời vụ,Bắc Ninh,EMP-377140,2024-08-28
EMP-759712,027086108171,Vũ Văn Giang,1986-02-11,0583286188,vu.van.giang756@protonmail.com,vu.van.giang@vnpt.vn,"199 Đinh Tiên Hoàng, Xã Yên Trung, Huyện Yên Phong, Bắc Ninh",Pháp lý,Trưởng phòng,29000000,9302695730,ACB,027086108171,9238000460,2011-01-10,Thử việc,Kiên Giang,EMP-407383,2024-10-31
EMP-318391,045190481094,Trần Hữu Sơn,1990-02-23,0394993277,tran.huu.son625@gmail.com,tran.huu.son@viettel.com.vn,"155 Phạm Văn Đồng, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Kinh doanh,Trưởng nhóm,37000000,8847965566924894,ACB,045190481094,3579198573,2020-11-12,Cộng tác viên,Thanh Hóa,EMP-884379,2023-04-23
EMP-593310,033383493614,Phan Quốc Châu,1983-05-03,0366439534,phan.quoc.chau477@outlook.com,phan.quoc.chau@viettel.com.vn,"391 Lý Thường Kiệt, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",Marketing,Giám đốc,28000000,11604699132,Agribank,033383493614,8802759797,2022-09-29,Chính thức,Quảng Ninh,EMP-604760,2024-05-21
EMP-360777,054291509271,Lý Phương Châu,1991-12-25,0888229827,ly.phuong.chau658@protonmail.com,ly.phuong.chau@vnpt.vn,"354 Lê Lợi, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",Kỹ thuật,Phó phòng,48500000,308851230,Vietcombank,054291509271,8315400334,2015-11-02,Thử việc,Hải Phòng,EMP-947055,2022-07-18
EMP-768659,074302505140,Hồ Phương Hà,2002-03-30,0352145251,ho.phuong.ha363@yahoo.com,ho.phuong.ha@viettel.com.vn,"366 Phan Đình Phùng, Xã Hoằng Lộc, Huyện Hoằng Hóa, Thanh Hóa",Chăm sóc khách hàng,Trưởng nhóm,26500000,36084261552,VietinBank,074302505140,7991812384,2013-08-31,Thời vụ,Bắc Ninh,EMP-646086,2024-05-15
EMP-915417,011093948596,Trần Xuân Bình,1993-11-17,0789458749,tran.xuan.binh55@yahoo.com,tran.xuan.binh@mbbank.com.vn,"497 Phạm Văn Đồng, Phường An Thới, Quận Bình Thủy, Cần Thơ",Công nghệ thông tin,Phó giám đốc,21500000,906363504692049,VPBank,011093948596,6053402955,2012-12-08,Thời vụ,Nghệ An,EMP-630798,2023-08-27
EMP-560027,064365540092,Nguyễn Ngọc Toàn,1965-04-12,0582248894,nguyen.ngoc.toan629@protonmail.com,nguyen.ngoc.toan@fpt.com.vn,"401 Nguyễn Văn Cừ, Phường Tân Thành, Quận Tân Bình, TP. Hồ Chí Minh",Vận hành,Trưởng nhóm,25500000,6309547594280,Sacombank,064365540092,9197343207,2010-08-26,Chính thức,Quảng Ninh,EMP-628828,2024-04-18
EMP-486691,060170914958,Lý Trung Thảo,1970-04-08,0912148833,ly.trung.thao742@outlook.com,ly.trung.thao@techcombank.com.vn,"483 Điện Biên Phủ, Xã Gành Dầu, TP. Phú Quốc, Kiên Giang",Kinh doanh,Phó giám đốc,45500000,5411928096,Agribank,060170914958,9890298631,2016-11-09,Thời vụ,Thanh Hóa,EMP-743950,2022-07-29
EMP-330869,033189617907,Lê Thanh Hà,1989-04-08,0594808832,le.thanh.ha684@gmail.com,le.thanh.ha@fpt.com.vn,"456 Điện Biên Phủ, Phường Đông Ngàn, TP. Từ Sơn, Bắc Ninh",Tài chính - Kế toán,Phó giám đốc,13000000,718217388,VietinBank,033189617907,7635606901,2017-06-11,Cộng tác viên,Thanh Hóa,EMP-329830,2024-07-19
EMP-270686,037293624807,Lý Phương Dũng,1993-07-28,0868623594,ly.phuong.dung924@hotmail.com,ly.phuong.dung@masan.com.vn,"63 Trần Phú, Phường Cầu Tre, Quận Ngô Quyền, Hải Phòng",Công nghệ thông tin,Nhân viên,14500000,8878513692,TPBank,037293624807,8216769652,2014-07-27,Cộng tác viên,Bắc Ninh,EMP-138294,2024-10-03
EMP-182779,082093340725,Đỗ Văn Nga,1993-11-08,0378029908,do.van.nga821@gmail.com,do.van.nga@viettel.com.vn,"241 Nam Kỳ Khởi Nghĩa, Xã Lạc Đạo, Huyện Văn Lâm, Hưng Yên",Nhân sự,Phó giám đốc,44500000,5691914119680022,MB Bank,082093340725,1128094594,2020-11-07,Thử việc,Hà Nội,EMP-959059,2023-07-03
EMP-774606,022300255019,Huỳnh Quốc Phúc,2000-06-12,0793912588,huynh.quoc.phuc693@yahoo.com,huynh.quoc.phuc@techcombank.com.vn,"121 Võ Thị Sáu, Xã Hàm Ninh, TP. Phú Quốc, Kiên Giang",Kỹ thuật,Phó giám đốc,26000000,385071262,TPBank,022300255019,5742832620,2024-09-05,Thời vụ,Bình Dương,EMP-424694,2023-08-09
EMP-128411,025188378119,Phạm Thùy Giang,1988-12-06,0341421613,pham.thuy.giang770@outlook.com,pham.thuy.giang@masan.com.vn,"374 Nguyễn Huệ, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai",Marketing,Trưởng phòng,7000000,239606719,BIDV,025188378119,3850949383,2018-02-16,Thời vụ,Nghệ An,EMP-584701,2024-03-29
EMP-883096,038092987815,Bùi Thùy Uyên,1992-08-03,0977168676,bui.thuy.uyen907@yahoo.com,bui.thuy.uyen@techcombank.com.vn,"185 Phan Đình Phùng, Xã Phú Cường, Huyện Đại Từ, Thái Nguyên",Vận hành,Trưởng nhóm,50000000,82256766718273,VietinBank,038092987815,8333419011,2016-07-20,Cộng tác viên,Bắc Ninh,EMP-800517,2023-07-11
EMP-747665,024373852541,Phạm Phương Uyên,1973-08-23,0881379394,pham.phuong.uyen315@protonmail.com,pham.phuong.uyen@vnpt.vn,"86 Đinh Tiên Hoàng, Phường Nam Hòa, TX. Quảng Yên, Quảng Ninh",Pháp lý,Thực tập sinh,47500000,035439044644781,VietinBank,024373852541,1519291302,2017-11-26,Thời vụ,Đà Nẵng,EMP-376144,2024-09-19
EMP-558257,093300984308,Nguyễn Hữu Xuân,2000-04-05,0844645090,nguyen.huu.xuan256@hotmail.com,nguyen.huu.xuan@masan.com.vn,"291 Hoàng Diệu, Phường 3, Quận Bình Thạnh, TP. Hồ Chí Minh",Kỹ thuật,Phó giám đốc,47500000,349711891,Sacombank,093300984308,1050597941,2024-01-04,Thời vụ,Thừa Thiên Huế,EMP-833311,2023-11-14
EMP-929390,054171461828,Hoàng Quốc Nga,1971-01-02,0349867954,hoang.quoc.nga115@yahoo.com,hoang.quoc.nga@viettel.com.vn,"163 Điện Biên Phủ, Phường Minh Khai, TP. Hưng Yên, Hưng Yên",Công nghệ thông tin,Chuyên viên,36500000,5590977180,ACB,054171461828,6594042157,2020-03-08,Thời vụ,Hà Nội,EMP-436988,2024-06-23
EMP-279288,019194176788,Hoàng Bảo Xuân,1994-11-01,0865485897,hoang.bao.xuan587@hotmail.com,hoang.bao.xuan@vingroup.net,"314 Trường Chinh, Phường Hưng Bình, TP. Vinh, Nghệ An",Công nghệ thông tin,Trưởng phòng,11000000,19785000001839,BIDV,019194176788,9899854895,2017-08-02,Thời vụ,Hải Phòng,EMP-876471,2022-07-16
EMP-229429,012078155635,Nguyễn Văn Thảo,1978-06-30,0584225431,nguyen.van.thao950@yahoo.com,nguyen.van.thao@vnpt.vn,"149 Hoàng Diệu, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",Mua hàng,Phó giám đốc,48500000,54481567641891,Sacombank,012078155635,2483383738,2013-04-07,Thời vụ,Thừa Thiên Huế,EMP-163010,2023-09-03
EMP-132980,040195761835,Phan Minh Xuân,1995-08-18,0864032309,phan.minh.xuan271@protonmail.com,phan.minh.xuan@masan.com.vn,"471 Lý Thường Kiệt, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng",Kỹ thuật,Trưởng phòng,35000000,95172578668520,TPBank,040195761835,5890274827,2016-12-22,Thử việc,Hải Phòng,EMP-419343,2023-10-26
EMP-964737,030175803361,Đỗ Thành Thảo,1975-11-19,0355238913,do.thanh.thao23@gmail.com,do.thanh.thao@techcombank.com.vn,"314 Điện Biên Phủ, Phường Tân An, Quận Ninh Kiều, Cần Thơ",Công nghệ thông tin,Thực tập sinh,28500000,4037721747177167,Techcombank,030175803361,2056260726,2024-11-24,Thời vụ,Bắc Ninh,EMP-739969,2022-05-06
EMP-666670,025367411099,Hồ Thùy Quân,1967-07-18,0597445325,ho.thuy.quan525@hotmail.com,ho.thuy.quan@vingroup.net,"46 Hoàng Diệu, Xã Ninh Mỹ, Huyện Hoa Lư, Ninh Bình",Công nghệ thông tin,Trưởng phòng,10000000,3250881216674531,Agribank,025367411099,1593861667,2012-01-09,Cộng tác viên,Hà Nội,EMP-417788,2024-09-01
EMP-807306,056383229751,Đặng Thùy Bình,1983-11-15,0349400473,dang.thuy.binh440@gmail.com,dang.thuy.binh@masan.com.vn,"230 Lê Lợi, Xã Trường Yên, Huyện Hoa Lư, Ninh Bình",Tài chính - Kế toán,Chuyên viên,14500000,1922738769522,MB Bank,056383229751,7497864297,2014-05-02,Thử việc,Kiên Giang,EMP-538228,2023-05-27
EMP-552117,027185060167,Lý Xuân Bình,1985-09-10,0923118921,ly.xuan.binh489@outlook.com,ly.xuan.binh@vnpt.vn,"32 Lê Văn Sỹ, Phường Minh Khai, TP. Hưng Yên, Hưng Yên",Mua hàng,Trưởng phòng,44000000,894366182346,VPBank,027185060167,3295427030,2012-01-06,Cộng tác viên,Đồng Nai,EMP-986017,2024-03-17
EMP-403384,095298219947,Phan Hữu Sơn,1998-09-25,0772517421,phan.huu.son346@gmail.com,phan.huu.son@vnpt.vn,"429 Hoàng Văn Thụ, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",Vận hành,Trưởng nhóm,44500000,387118504296,Sacombank,095298219947,7031432404,2017-03-13,Thử việc,Hà Nội,EMP-706483,2022-02-11
EMP-356534,075185506967,Đỗ Văn Tâm,1985-09-02,0323798627,do.van.tam657@hotmail.com,do.van.tam@masan.com.vn,"372 Nguyễn Trãi, Phường Đông Thành, TP. Ninh Bình, Ninh Bình",Mua hàng,Phó phòng,15000000,65618660127,TPBank,075185506967,4498626120,2017-10-01,Cộng tác viên,Hà Nội,EMP-854407,2022-07-03
EMP-181589,017095511480,Đỗ Thị Xuân,1995-04-11,0889715802,do.thi.xuan341@protonmail.com,do.thi.xuan@vnpt.vn,"147 Nam Kỳ Khởi Nghĩa, Phường Văn An, TP. Chí Linh, Hải Dương",Nhân sự,Phó giám đốc,47000000,9711582548035,BIDV,017095511480,7134790455,2024-10-23,Cộng tác viên,Bình Dương,EMP-140393,2023-03-13
EMP-993360,062175367033,Huỳnh Văn Mai,1975-08-04,0331119114,huynh.van.mai159@protonmail.com,huynh.van.mai@vingroup.net,"136 Nguyễn Huệ, Phường Dư Hàng, Quận Lê Chân, Hải Phòng",Kinh doanh,Phó giám đốc,38500000,2454105668517936,VietinBank,062175367033,2919954709,2018-07-21,Cộng tác viên,Bình Dương,EMP-393796,2023-06-27
EMP-730077,074379089446,Đặng Bảo Nam,1979-01-14,0968650371,dang.bao.nam837@yahoo.com,dang.bao.nam@vingroup.net,"303 Hai Bà Trưng, Phường Đồng Kỵ, TP. Từ Sơn, Bắc Ninh",Chăm sóc khách hàng,Trưởng nhóm,12500000,4545245204936,Sacombank,074379089446,1575842539,2012-08-07,Cộng tác viên,Thừa Thiên Huế,EMP-943790,2024-11-30
EMP-137899,038060155481,Lê Minh Tuấn,1960-08-31,0941415918,le.minh.tuan542@hotmail.com,le.minh.tuan@viettel.com.vn,"115 Tô Hiến Thành, Xã An Đồng, Huyện An Dương, Hải Phòng",Công nghệ thông tin,Trưởng phòng,20000000,8969764805248,Vietcombank,038060155481,6227182732,2023-06-30,Thời vụ,Hà Nội,EMP-809306,2023-05-22
EMP-296465,060093546287,Huỳnh Ngọc Quân,1993-01-20,0586769363,huynh.ngoc.quan921@gmail.com,huynh.ngoc.quan@mbbank.com.vn,"179 Điện Biên Phủ, Phường Cẩm Tây, TP. Cẩm Phả, Quảng Ninh",Chăm sóc khách hàng,Phó phòng,13000000,3765245309571,Sacombank,060093546287,4411183299,2010-01-26,Thử việc,Quảng Ninh,EMP-348039,2022-04-18
EMP-176073,038300216545,Đặng Minh Việt,2000-05-01,0359457869,dang.minh.viet901@hotmail.com,dang.minh.viet@mbbank.com.vn,"175 Hai Bà Trưng, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Mua hàng,Phó giám đốc,28000000,4763577572,BIDV,038300216545,6494894775,2013-11-04,Thời vụ,Bắc Ninh,EMP-951474,2023-02-07
EMP-113768,089195616536,Nguyễn Bảo Giang,1995-06-02,0887067470,nguyen.bao.giang654@gmail.com,nguyen.bao.giang@viettel.com.vn,"83 Điện Biên Phủ, Phường Tây Lộc, TP. Huế, Thừa Thiên Huế",Chăm sóc khách hàng,Phó phòng,34500000,488293348301086,ACB,089195616536,9162241702,2012-10-05,Thời vụ,An Giang,EMP-163379,2023-09-09
EMP-330767,027193012905,Phạm Văn Bình,1993-01-06,0791717763,pham.van.binh64@yahoo.com,pham.van.binh@mbbank.com.vn,"33 Trần Phú, Phường Ngọc Trạo, TP. Thanh Hóa, Thanh Hóa",Kỹ thuật,Phó phòng,12500000,11517361889022,VietinBank,027193012905,8948129150,2022-04-21,Cộng tác viên,Bình Dương,EMP-479659,2022-07-24
EMP-419946,024398806128,Trần Xuân Giang,1998-03-16,0887955958,tran.xuan.giang392@yahoo.com,tran.xuan.giang@masan.com.vn,"190 Phạm Văn Đồng, Xã Kim Sơn, Huyện Gia Lâm, Hà Nội",Mua hàng,Phó phòng,48500000,86285161054744,VPBank,024398806128,6279986380,2022-03-19,Thử việc,Thừa Thiên Huế,EMP-769979,2024-05-26
EMP-207468,068376240704,Đỗ Phương Hùng,1976-07-28,0896708485,do.phuong.hung35@protonmail.com,do.phuong.hung@viettel.com.vn,"119 Điện Biên Phủ, Xã Lạc Đạo, Huyện Văn Lâm, Hưng Yên",Nhân sự,Giám đốc,12500000,225440758,Sacombank,068376240704,4091692869,2022-02-25,Thử việc,Thái Nguyên,EMP-214906,2023-05-27
EMP-196556,040167435431,Nguyễn Văn Yến,1967-09-23,0854109247,nguyen.van.yen897@gmail.com,nguyen.van.yen@vingroup.net,"249 Lê Văn Sỹ, Phường Thu Thủy, TX. Cửa Lò, Nghệ An",Vận hành,Thực tập sinh,31500000,82430962889,VietinBank,040167435431,5343199922,2020-06-29,Chính thức,Bình Dương,EMP-780176,2024-06-02
